1,"eplusout (RUN PERIOD 1).eso"

"Date/Time","[1] Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area  (W/m2)"
,"ZN001:ROOF001"
"Year 1 Jan 14 7:00 AM","0"
"Year 1 Jan 14 8:00 AM","18.0476937417936"
"Year 1 Jan 14 9:00 AM","63.8267148076754"
"Year 1 Jan 14 10:00 AM","100.162979688173"
"Year 1 Jan 14 11:00 AM","122.269653182757"
"Year 1 Jan 14 12:00 PM","143.05280453182"
"Year 1 Jan 14 1:00 PM","131.364073479905"
"Year 1 Jan 14 2:00 PM","56.6267793727227"
"Year 1 Jan 14 3:00 PM","46.1216265366673"
"Year 1 Jan 14 4:00 PM","31.1095102518427"
"Year 1 Jan 14 5:00 PM","7.34218814527806"
"Year 1 Jan 14 6:00 PM","0"
"Year 1 Jan 14 7:00 PM","0"
"Year 1 Jan 14 8:00 PM","0"
"Year 1 Jan 14 9:00 PM","0"
"Year 1 Jan 14 10:00 PM","0"
"Year 1 Jan 14 11:00 PM","0"
"Year 1 Jan 15 12:00 AM","0"
"Year 1 Jan 15 1:00 AM","0"
"Year 1 Jan 15 2:00 AM","0"
"Year 1 Jan 15 3:00 AM","0"
"Year 1 Jan 15 4:00 AM","0"
"Year 1 Jan 15 5:00 AM","0"
"Year 1 Jan 15 6:00 AM","0"
"Year 1 Jan 15 7:00 AM","0"
"Year 1 Jan 15 8:00 AM","18.2670048245351"
"Year 1 Jan 15 9:00 AM","50.0818657832922"
"Year 1 Jan 15 10:00 AM","68.9683589925695"
"Year 1 Jan 15 11:00 AM","79.3000783616221"
"Year 1 Jan 15 12:00 PM","89.9016616568551"
"Year 1 Jan 15 1:00 PM","105.381893015931"
"Year 1 Jan 15 2:00 PM","98.3326689008603"
"Year 1 Jan 15 3:00 PM","86.2324043929595"
"Year 1 Jan 15 4:00 PM","48.072330760851"
"Year 1 Jan 15 5:00 PM","10.1464111350765"
"Year 1 Jan 15 6:00 PM","0"
"Year 1 Jan 15 7:00 PM","0"
"Year 1 Jan 15 8:00 PM","0"
"Year 1 Jan 15 9:00 PM","0"
"Year 1 Jan 15 10:00 PM","0"
"Year 1 Jan 15 11:00 PM","0"
"Year 1 Jan 16 12:00 AM","0"
"Year 1 Jan 16 1:00 AM","0"
"Year 1 Jan 16 2:00 AM","0"
"Year 1 Jan 16 3:00 AM","0"
"Year 1 Jan 16 4:00 AM","0"
"Year 1 Jan 16 5:00 AM","0"
"Year 1 Jan 16 6:00 AM","0"
"Year 1 Jan 16 7:00 AM","0"
"Year 1 Jan 16 8:00 AM","18.8946048087507"
"Year 1 Jan 16 9:00 AM","71.8408858753009"
"Year 1 Jan 16 10:00 AM","111.398383088627"
"Year 1 Jan 16 11:00 AM","116.119268535433"
"Year 1 Jan 16 12:00 PM","145.598418102704"
"Year 1 Jan 16 1:00 PM","107.380406528895"
"Year 1 Jan 16 2:00 PM","99.470695669954"
"Year 1 Jan 16 3:00 PM","97.8022993673415"
"Year 1 Jan 16 4:00 PM","51.785319648261"
"Year 1 Jan 16 5:00 PM","9.29124105713945"
"Year 1 Jan 16 6:00 PM","0"
"Year 1 Jan 16 7:00 PM","0"
"Year 1 Jan 16 8:00 PM","0"
"Year 1 Jan 16 9:00 PM","0"
"Year 1 Jan 16 10:00 PM","0"
"Year 1 Jan 16 11:00 PM","0"
"Year 1 Jan 17 12:00 AM","0"
"Year 1 Jan 17 1:00 AM","0"
"Year 1 Jan 17 2:00 AM","0"
"Year 1 Jan 17 3:00 AM","0"
"Year 1 Jan 17 4:00 AM","0"
"Year 1 Jan 17 5:00 AM","0"
"Year 1 Jan 17 6:00 AM","0"
"Year 1 Jan 17 7:00 AM","0"
"Year 1 Jan 17 8:00 AM","14.1788173456933"
"Year 1 Jan 17 9:00 AM","35.0092592986478"
"Year 1 Jan 17 10:00 AM","46.779501995245"
"Year 1 Jan 17 11:00 AM","69.1399872368778"
"Year 1 Jan 17 12:00 PM","76.7309903937998"
"Year 1 Jan 17 1:00 PM","101.583678800358"
"Year 1 Jan 17 2:00 PM","100.443440755853"
"Year 1 Jan 17 3:00 PM","75.4980318654626"
"Year 1 Jan 17 4:00 PM","48.888983654945"
"Year 1 Jan 17 5:00 PM","9.85373984389471"
"Year 1 Jan 17 6:00 PM","0"
"Year 1 Jan 17 7:00 PM","0"
"Year 1 Jan 17 8:00 PM","0"
"Year 1 Jan 17 9:00 PM","0"
"Year 1 Jan 17 10:00 PM","0"
"Year 1 Jan 17 11:00 PM","0"
"Year 1 Jan 18 12:00 AM","0"
"Year 1 Jan 18 1:00 AM","0"
"Year 1 Jan 18 2:00 AM","0"
"Year 1 Jan 18 3:00 AM","0"
"Year 1 Jan 18 4:00 AM","0"
"Year 1 Jan 18 5:00 AM","0"
"Year 1 Jan 18 6:00 AM","0"
"Year 1 Jan 18 7:00 AM","0"
"Year 1 Jan 18 8:00 AM","10.8411314014838"
"Year 1 Jan 18 9:00 AM","45.6220246910344"
"Year 1 Jan 18 10:00 AM","110.097229213714"
"Year 1 Jan 18 11:00 AM","134.7034925633"
"Year 1 Jan 18 12:00 PM","136.003542340756"
"Year 1 Jan 18 1:00 PM","117.594996721774"
"Year 1 Jan 18 2:00 PM","101.712131616133"
"Year 1 Jan 18 3:00 PM","75.5094775143502"
"Year 1 Jan 18 4:00 PM","32.7832345804464"
"Year 1 Jan 18 5:00 PM","6.09375"
"Year 1 Jan 18 6:00 PM","0"
"Year 1 Jan 18 7:00 PM","0"
"Year 1 Jan 18 8:00 PM","0"
"Year 1 Jan 18 9:00 PM","0"
"Year 1 Jan 18 10:00 PM","0"
"Year 1 Jan 18 11:00 PM","0"
"Year 1 Jan 19 12:00 AM","0"
"Year 1 Jan 19 1:00 AM","0"
"Year 1 Jan 19 2:00 AM","0"
"Year 1 Jan 19 3:00 AM","0"
"Year 1 Jan 19 4:00 AM","0"
"Year 1 Jan 19 5:00 AM","0"
"Year 1 Jan 19 6:00 AM","0"
"Year 1 Jan 19 7:00 AM","0"
"Year 1 Jan 19 8:00 AM","17.6739853743809"
"Year 1 Jan 19 9:00 AM","68.725079826271"
"Year 1 Jan 19 10:00 AM","108.007429098687"
"Year 1 Jan 19 11:00 AM","144.364636111202"
"Year 1 Jan 19 12:00 PM","172.662912935405"
"Year 1 Jan 19 1:00 PM","169.78065145091"
"Year 1 Jan 19 2:00 PM","158.288608385437"
"Year 1 Jan 19 3:00 PM","107.545869742607"
"Year 1 Jan 19 4:00 PM","60.8938247232466"
"Year 1 Jan 19 5:00 PM","12.2972337925348"
"Year 1 Jan 19 6:00 PM","0"
"Year 1 Jan 19 7:00 PM","0"
"Year 1 Jan 19 8:00 PM","0"
"Year 1 Jan 19 9:00 PM","0"
"Year 1 Jan 19 10:00 PM","0"
"Year 1 Jan 19 11:00 PM","0"
"Year 1 Jan 20 12:00 AM","0"
"Year 1 Jan 20 1:00 AM","0"
"Year 1 Jan 20 2:00 AM","0"
"Year 1 Jan 20 3:00 AM","0"
"Year 1 Jan 20 4:00 AM","0"
"Year 1 Jan 20 5:00 AM","0"
"Year 1 Jan 20 6:00 AM","0"
"Year 1 Jan 20 7:00 AM","0"
"Year 1 Jan 20 8:00 AM","19.4628474818921"
"Year 1 Jan 20 9:00 AM","65.2254775927566"
"Year 1 Jan 20 10:00 AM","115.054153239213"
"Year 1 Jan 20 11:00 AM","145.95816753005"
"Year 1 Jan 20 12:00 PM","164.131489441166"
"Year 1 Jan 20 1:00 PM","152.3246780056"
"Year 1 Jan 20 2:00 PM","84.4055967264616"
"Year 1 Jan 20 3:00 PM","49.0198103111222"
"Year 1 Jan 20 4:00 PM","33.6623310277364"
"Year 1 Jan 20 5:00 PM","10.2471561134306"
"Year 1 Jan 20 6:00 PM","0"
"Year 1 Jan 20 7:00 PM","0"
"Year 1 Jan 20 8:00 PM","0"
"Year 1 Jan 20 9:00 PM","0"
"Year 1 Jan 20 10:00 PM","0"
"Year 1 Jan 20 11:00 PM","0"
"Year 1 Jan 21 12:00 AM","0"
"Year 1 Jan 21 1:00 AM","0"
"Year 1 Jan 21 2:00 AM","0"
"Year 1 Jan 21 3:00 AM","0"
"Year 1 Jan 21 4:00 AM","0"
"Year 1 Jan 21 5:00 AM","0"
"Year 1 Jan 21 6:00 AM","0"
"Year 1 Jan 21 7:00 AM","0"
"Year 1 Jan 21 8:00 AM","19.8392148904573"
"Year 1 Jan 21 9:00 AM","65.7957930887346"
"Year 1 Jan 21 10:00 AM","117.265309985618"
