1,"eplusout.eso"

"Date/Time","[1] Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area  (W/m2)"
,"SHADER_0"
"Year 1 Jan 13 2:00 AM","0"
"Year 1 Jan 13 3:00 AM","0"
"Year 1 Jan 13 4:00 AM","0"
"Year 1 Jan 13 5:00 AM","0"
"Year 1 Jan 13 6:00 AM","0"
"Year 1 Jan 13 7:00 AM","0"
"Year 1 Jan 13 8:00 AM","8.7508364377539"
"Year 1 Jan 13 9:00 AM","28.2961554565416"
"Year 1 Jan 13 10:00 AM","38.5770021697046"
"Year 1 Jan 13 11:00 AM","44.4535813999944"
"Year 1 Jan 13 12:00 PM","49.1042983634987"
"Year 1 Jan 13 1:00 PM","76.335925274876"
"Year 1 Jan 13 2:00 PM","118.674761188776"
"Year 1 Jan 13 3:00 PM","101.465842858584"
"Year 1 Jan 13 4:00 PM","22.2649918233675"
"Year 1 Jan 13 5:00 PM","2.4682795784142"
"Year 1 Jan 13 6:00 PM","0"
"Year 1 Jan 13 7:00 PM","0"
"Year 1 Jan 13 8:00 PM","0"
"Year 1 Jan 13 9:00 PM","0"
"Year 1 Jan 13 10:00 PM","0"
"Year 1 Jan 13 11:00 PM","0"
"Year 1 Jan 14 12:00 AM","0"
"Year 1 Jan 14 1:00 AM","0"
"Year 1 Jan 14 2:00 AM","0"
"Year 1 Jan 14 3:00 AM","0"
"Year 1 Jan 14 4:00 AM","0"
"Year 1 Jan 14 5:00 AM","0"
"Year 1 Jan 14 6:00 AM","0"
"Year 1 Jan 14 7:00 AM","0"
"Year 1 Jan 14 8:00 AM","8.11389056080867"
"Year 1 Jan 14 9:00 AM","31.3221805224852"
"Year 1 Jan 14 10:00 AM","49.9081530993035"
"Year 1 Jan 14 11:00 AM","61.5433326784016"
"Year 1 Jan 14 12:00 PM","71.2653481944027"
"Year 1 Jan 14 1:00 PM","78.1783802353854"
"Year 1 Jan 14 2:00 PM","65.3099670957641"
"Year 1 Jan 14 3:00 PM","74.831759324478"
"Year 1 Jan 14 4:00 PM","82.530314993563"
"Year 1 Jan 14 5:00 PM","27.0681680460917"
"Year 1 Jan 14 6:00 PM","0"
"Year 1 Jan 14 7:00 PM","0"
"Year 1 Jan 14 8:00 PM","0"
"Year 1 Jan 14 9:00 PM","0"
"Year 1 Jan 14 10:00 PM","0"
"Year 1 Jan 14 11:00 PM","0"
"Year 1 Jan 15 12:00 AM","0"
"Year 1 Jan 15 1:00 AM","0"
"Year 1 Jan 15 2:00 AM","0"
"Year 1 Jan 15 3:00 AM","0"
"Year 1 Jan 15 4:00 AM","0"
"Year 1 Jan 15 5:00 AM","0"
"Year 1 Jan 15 6:00 AM","0"
"Year 1 Jan 15 7:00 AM","0"
"Year 1 Jan 15 8:00 AM","8.84245891865503"
"Year 1 Jan 15 9:00 AM","27.8469496691225"
"Year 1 Jan 15 10:00 AM","40.7088290838368"
"Year 1 Jan 15 11:00 AM","44.9101413904287"
"Year 1 Jan 15 12:00 PM","49.2077134076951"
"Year 1 Jan 15 1:00 PM","74.2599241043229"
"Year 1 Jan 15 2:00 PM","96.8543785032353"
"Year 1 Jan 15 3:00 PM","98.9042501414627"
"Year 1 Jan 15 4:00 PM","86.7639971300123"
"Year 1 Jan 15 5:00 PM","27.1971910708521"
"Year 1 Jan 15 6:00 PM","0"
"Year 1 Jan 15 7:00 PM","0"
"Year 1 Jan 15 8:00 PM","0"
"Year 1 Jan 15 9:00 PM","0"
"Year 1 Jan 15 10:00 PM","0"
"Year 1 Jan 15 11:00 PM","0"
"Year 1 Jan 16 12:00 AM","0"
"Year 1 Jan 16 1:00 AM","0"
"Year 1 Jan 16 2:00 AM","0"
"Year 1 Jan 16 3:00 AM","0"
"Year 1 Jan 16 4:00 AM","0"
"Year 1 Jan 16 5:00 AM","0"
"Year 1 Jan 16 6:00 AM","0"
"Year 1 Jan 16 7:00 AM","0"
"Year 1 Jan 16 8:00 AM","9.01014229186657"
"Year 1 Jan 16 9:00 AM","35.5595541800528"
"Year 1 Jan 16 10:00 AM","54.8656343401512"
"Year 1 Jan 16 11:00 AM","58.5104006678276"
"Year 1 Jan 16 12:00 PM","70.6585916601495"
"Year 1 Jan 16 1:00 PM","74.2534492700925"
"Year 1 Jan 16 2:00 PM","96.305804370381"
"Year 1 Jan 16 3:00 PM","100.48438133499"
"Year 1 Jan 16 4:00 PM","74.7605437588687"
"Year 1 Jan 16 5:00 PM","25.2182382733278"
"Year 1 Jan 16 6:00 PM","0"
"Year 1 Jan 16 7:00 PM","0"
"Year 1 Jan 16 8:00 PM","0"
"Year 1 Jan 16 9:00 PM","0"
"Year 1 Jan 16 10:00 PM","0"
"Year 1 Jan 16 11:00 PM","0"
"Year 1 Jan 17 12:00 AM","0"
"Year 1 Jan 17 1:00 AM","0"
"Year 1 Jan 17 2:00 AM","0"
"Year 1 Jan 17 3:00 AM","0"
"Year 1 Jan 17 4:00 AM","0"
"Year 1 Jan 17 5:00 AM","0"
"Year 1 Jan 17 6:00 AM","0"
"Year 1 Jan 17 7:00 AM","0"
"Year 1 Jan 17 8:00 AM","8.59949070213107"
"Year 1 Jan 17 9:00 AM","23.5047545694315"
"Year 1 Jan 17 10:00 AM","31.2738550150262"
"Year 1 Jan 17 11:00 AM","41.1034787479382"
"Year 1 Jan 17 12:00 PM","44.9412525284788"
"Year 1 Jan 17 1:00 PM","70.3371751760519"
"Year 1 Jan 17 2:00 PM","91.7490660438402"
"Year 1 Jan 17 3:00 PM","65.0467686967438"
"Year 1 Jan 17 4:00 PM","53.8890956626313"
"Year 1 Jan 17 5:00 PM","23.1840600070407"
"Year 1 Jan 17 6:00 PM","0"
"Year 1 Jan 17 7:00 PM","0"
"Year 1 Jan 17 8:00 PM","0"
"Year 1 Jan 17 9:00 PM","0"
"Year 1 Jan 17 10:00 PM","0"
"Year 1 Jan 17 11:00 PM","0"
"Year 1 Jan 18 12:00 AM","0"
"Year 1 Jan 18 1:00 AM","0"
"Year 1 Jan 18 2:00 AM","0"
"Year 1 Jan 18 3:00 AM","0"
"Year 1 Jan 18 4:00 AM","0"
"Year 1 Jan 18 5:00 AM","0"
"Year 1 Jan 18 6:00 AM","0"
"Year 1 Jan 18 7:00 AM","0"
"Year 1 Jan 18 8:00 AM","5.37066685001487"
"Year 1 Jan 18 9:00 AM","23.6561087653807"
"Year 1 Jan 18 10:00 AM","54.1211664875055"
"Year 1 Jan 18 11:00 AM","66.4903040374596"
"Year 1 Jan 18 12:00 PM","67.5330132539378"
"Year 1 Jan 18 1:00 PM","64.9786746717946"
"Year 1 Jan 18 2:00 PM","61.310095309325"
"Year 1 Jan 18 3:00 PM","50.4276031950276"
"Year 1 Jan 18 4:00 PM","20.8051078473861"
"Year 1 Jan 18 5:00 PM","4.91723109163993"
"Year 1 Jan 18 6:00 PM","0"
"Year 1 Jan 18 7:00 PM","0"
"Year 1 Jan 18 8:00 PM","0"
"Year 1 Jan 18 9:00 PM","0"
"Year 1 Jan 18 10:00 PM","0"
"Year 1 Jan 18 11:00 PM","0"
"Year 1 Jan 19 12:00 AM","0"
"Year 1 Jan 19 1:00 AM","0"
"Year 1 Jan 19 2:00 AM","0"
"Year 1 Jan 19 3:00 AM","0"
"Year 1 Jan 19 4:00 AM","0"
"Year 1 Jan 19 5:00 AM","0"
"Year 1 Jan 19 6:00 AM","0"
"Year 1 Jan 19 7:00 AM","0"
"Year 1 Jan 19 8:00 AM","8.10561598499311"
"Year 1 Jan 19 9:00 AM","33.4922894985597"
"Year 1 Jan 19 10:00 AM","53.22635271781"
"Year 1 Jan 19 11:00 AM","70.3425995175964"
"Year 1 Jan 19 12:00 PM","82.8787288950461"
"Year 1 Jan 19 1:00 PM","90.2802533310087"
"Year 1 Jan 19 2:00 PM","100.806126412153"
"Year 1 Jan 19 3:00 PM","81.6379275392057"
"Year 1 Jan 19 4:00 PM","61.8066985050934"
"Year 1 Jan 19 5:00 PM","26.9651906033877"
"Year 1 Jan 19 6:00 PM","0"
"Year 1 Jan 19 7:00 PM","0"
"Year 1 Jan 19 8:00 PM","0"
"Year 1 Jan 19 9:00 PM","0"
"Year 1 Jan 19 10:00 PM","0"
"Year 1 Jan 19 11:00 PM","0"
"Year 1 Jan 20 12:00 AM","0"
"Year 1 Jan 20 1:00 AM","0"
"Year 1 Jan 20 2:00 AM","0"
"Year 1 Jan 20 3:00 AM","0"
"Year 1 Jan 20 4:00 AM","0"
"Year 1 Jan 20 5:00 AM","0"
"Year 1 Jan 20 6:00 AM","0"
"Year 1 Jan 20 7:00 AM","0"
"Year 1 Jan 20 8:00 AM","8.8053235610467"
"Year 1 Jan 20 9:00 AM","32.1476058668198"
"Year 1 Jan 20 10:00 AM","55.922283259278"
"Year 1 Jan 20 11:00 AM","71.2135842171427"
"Year 1 Jan 20 12:00 PM","79.9523545300162"
"Year 1 Jan 20 1:00 PM","87.6489589752317"
"Year 1 Jan 20 2:00 PM","87.0316571763015"
"Year 1 Jan 20 3:00 PM","76.7687755998032"
"Year 1 Jan 20 4:00 PM","83.2157897251907"
"Year 1 Jan 20 5:00 PM","42.2426783148009"
"Year 1 Jan 20 6:00 PM","0"
"Year 1 Jan 20 7:00 PM","0"
"Year 1 Jan 20 8:00 PM","0"
"Year 1 Jan 20 9:00 PM","0"
"Year 1 Jan 20 10:00 PM","0"
"Year 1 Jan 20 11:00 PM","0"
"Year 1 Jan 21 12:00 AM","0"
"Year 1 Jan 21 1:00 AM","0"
"Year 1 Jan 21 2:00 AM","0"
"Year 1 Jan 21 3:00 AM","0"
"Year 1 Jan 21 4:00 AM","0"
"Year 1 Jan 21 5:00 AM","0"
"Year 1 Jan 21 6:00 AM","0"
"Year 1 Jan 21 7:00 AM","0"
"Year 1 Jan 21 8:00 AM","10.6873496020079"
"Year 1 Jan 21 9:00 AM","34.4407529582719"
"Year 1 Jan 21 10:00 AM","57.3839718181874"
"Year 1 Jan 21 11:00 AM","67.6079791599165"
"Year 1 Jan 21 12:00 PM","72.8611023555514"
"Year 1 Jan 21 1:00 PM","87.4979479439469"
"Year 1 Jan 21 2:00 PM","105.247009323589"
"Year 1 Jan 21 3:00 PM","60.0254572807239"
"Year 1 Jan 21 4:00 PM","54.0641654150803"
"Year 1 Jan 21 5:00 PM","30.8635173804303"
"Year 1 Jan 21 6:00 PM","0"
"Year 1 Jan 21 7:00 PM","0"
"Year 1 Jan 21 8:00 PM","0"
"Year 1 Jan 21 9:00 PM","0"
"Year 1 Jan 21 10:00 PM","0"
"Year 1 Jan 21 11:00 PM","0"
"Year 1 Jan 22 12:00 AM","0"
"Year 1 Jan 22 1:00 AM","0"
"Year 1 Jan 22 2:00 AM","0"
"Year 1 Jan 22 3:00 AM","0"
"Year 1 Jan 22 4:00 AM","0"
"Year 1 Jan 22 5:00 AM","0"
"Year 1 Jan 22 6:00 AM","0"
"Year 1 Jan 22 7:00 AM","0"
"Year 1 Jan 22 8:00 AM","6.44197221771637"
"Year 1 Jan 22 9:00 AM","26.8056474300612"
"Year 1 Jan 22 10:00 AM","55.9362676913253"
"Year 1 Jan 22 11:00 AM","64.7116352024697"
"Year 1 Jan 22 12:00 PM","57.2455997485871"
"Year 1 Jan 22 1:00 PM","51.8285068972129"
"Year 1 Jan 22 2:00 PM","69.2377987128972"
"Year 1 Jan 22 3:00 PM","80.4138074681317"
"Year 1 Jan 22 4:00 PM","86.7963060124025"
"Year 1 Jan 22 5:00 PM","42.5446586482429"
"Year 1 Jan 22 6:00 PM","0"
"Year 1 Jan 22 7:00 PM","0"
"Year 1 Jan 22 8:00 PM","0"
"Year 1 Jan 22 9:00 PM","0"
"Year 1 Jan 22 10:00 PM","0"
"Year 1 Jan 22 11:00 PM","0"
"Year 1 Jan 23 12:00 AM","0"
"Year 1 Jan 23 1:00 AM","0"
"Year 1 Jan 23 2:00 AM","0"
"Year 1 Jan 23 3:00 AM","0"
"Year 1 Jan 23 4:00 AM","0"
"Year 1 Jan 23 5:00 AM","0"
"Year 1 Jan 23 6:00 AM","0"
"Year 1 Jan 23 7:00 AM","0"
"Year 1 Jan 23 8:00 AM","10.0513357175443"
"Year 1 Jan 23 9:00 AM","29.8737812971008"
"Year 1 Jan 23 10:00 AM","45.7186135027756"
"Year 1 Jan 23 11:00 AM","54.1245970348746"
"Year 1 Jan 23 12:00 PM","55.9083098799135"
"Year 1 Jan 23 1:00 PM","70.7847479574239"
"Year 1 Jan 23 2:00 PM","93.0367990937991"
"Year 1 Jan 23 3:00 PM","102.87653630307"
"Year 1 Jan 23 4:00 PM","95.4725076521546"
"Year 1 Jan 23 5:00 PM","39.2818720562411"
"Year 1 Jan 23 6:00 PM","0"
"Year 1 Jan 23 7:00 PM","0"
"Year 1 Jan 23 8:00 PM","0"
"Year 1 Jan 23 9:00 PM","0"
"Year 1 Jan 23 10:00 PM","0"
"Year 1 Jan 23 11:00 PM","0"
"Year 1 Jan 24 12:00 AM","0"
"Year 1 Jan 24 1:00 AM","0"
"Year 1 Jan 24 2:00 AM","0"
"Year 1 Jan 24 3:00 AM","0"
"Year 1 Jan 24 4:00 AM","0"
"Year 1 Jan 24 5:00 AM","0"
"Year 1 Jan 24 6:00 AM","0"
"Year 1 Jan 24 7:00 AM","0"
"Year 1 Jan 24 8:00 AM","6.06816011748434"
"Year 1 Jan 24 9:00 AM","20.5225702654277"
"Year 1 Jan 24 10:00 AM","45.6289205047278"
"Year 1 Jan 24 11:00 AM","66.7624850251296"
