1,"eplusout.eso"

"Date/Time","[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2)"
,"ZONE_0:F5"
"Year 1 Jan 09 7:00 AM","0"
"Year 1 Jan 09 8:00 AM","14.2821501305869"
"Year 1 Jan 09 9:00 AM","76.2963306892536"
"Year 1 Jan 09 10:00 AM","162.326096967287"
"Year 1 Jan 09 11:00 AM","215.282460941058"
"Year 1 Jan 09 12:00 PM","268.048682533129"
"Year 1 Jan 09 1:00 PM","282.276388818644"
"Year 1 Jan 09 2:00 PM","224.184993891291"
"Year 1 Jan 09 3:00 PM","167.296880185872"
"Year 1 Jan 09 4:00 PM","65.6751511544785"
"Year 1 Jan 09 5:00 PM","7.39622138255286"
"Year 1 Jan 09 6:00 PM","0"
"Year 1 Jan 09 7:00 PM","0"
"Year 1 Jan 09 8:00 PM","0"
"Year 1 Jan 09 9:00 PM","0"
"Year 1 Jan 09 10:00 PM","0"
"Year 1 Jan 09 11:00 PM","0"
"Year 1 Jan 10 12:00 AM","0"
"Year 1 Jan 10 1:00 AM","0"
"Year 1 Jan 10 2:00 AM","0"
"Year 1 Jan 10 3:00 AM","0"
"Year 1 Jan 10 4:00 AM","0"
"Year 1 Jan 10 5:00 AM","0"
"Year 1 Jan 10 6:00 AM","0"
"Year 1 Jan 10 7:00 AM","0"
"Year 1 Jan 10 8:00 AM","17.9278489231289"
"Year 1 Jan 10 9:00 AM","115.772610914324"
"Year 1 Jan 10 10:00 AM","244.49126323831"
"Year 1 Jan 10 11:00 AM","346.691048148459"
"Year 1 Jan 10 12:00 PM","394.447875309627"
"Year 1 Jan 10 1:00 PM","389.511487872922"
"Year 1 Jan 10 2:00 PM","329.883201912279"
"Year 1 Jan 10 3:00 PM","219.288961632009"
"Year 1 Jan 10 4:00 PM","90.0387290554873"
"Year 1 Jan 10 5:00 PM","9.54108679624917"
"Year 1 Jan 10 6:00 PM","0"
"Year 1 Jan 10 7:00 PM","0"
"Year 1 Jan 10 8:00 PM","0"
"Year 1 Jan 10 9:00 PM","0"
"Year 1 Jan 10 10:00 PM","0"
"Year 1 Jan 10 11:00 PM","0"
"Year 1 Jan 11 12:00 AM","0"
"Year 1 Jan 11 1:00 AM","0"
"Year 1 Jan 11 2:00 AM","0"
"Year 1 Jan 11 3:00 AM","0"
"Year 1 Jan 11 4:00 AM","0"
"Year 1 Jan 11 5:00 AM","0"
"Year 1 Jan 11 6:00 AM","0"
"Year 1 Jan 11 7:00 AM","0"
"Year 1 Jan 11 8:00 AM","8.67158557138503"
"Year 1 Jan 11 9:00 AM","42.8771974977476"
"Year 1 Jan 11 10:00 AM","109.447898091764"
"Year 1 Jan 11 11:00 AM","180.056550912288"
"Year 1 Jan 11 12:00 PM","303.82999094781"
"Year 1 Jan 11 1:00 PM","326.582360073316"
"Year 1 Jan 11 2:00 PM","295.876815103182"
"Year 1 Jan 11 3:00 PM","216.164935197866"
"Year 1 Jan 11 4:00 PM","96.6481834109628"
"Year 1 Jan 11 5:00 PM","9.92443378726589"
"Year 1 Jan 11 6:00 PM","0"
"Year 1 Jan 11 7:00 PM","0"
"Year 1 Jan 11 8:00 PM","0"
"Year 1 Jan 11 9:00 PM","0"
"Year 1 Jan 11 10:00 PM","0"
"Year 1 Jan 11 11:00 PM","0"
"Year 1 Jan 12 12:00 AM","0"
"Year 1 Jan 12 1:00 AM","0"
"Year 1 Jan 12 2:00 AM","0"
"Year 1 Jan 12 3:00 AM","0"
"Year 1 Jan 12 4:00 AM","0"
"Year 1 Jan 12 5:00 AM","0"
"Year 1 Jan 12 6:00 AM","0"
"Year 1 Jan 12 7:00 AM","0"
"Year 1 Jan 12 8:00 AM","16.3193975486939"
"Year 1 Jan 12 9:00 AM","59.7868660042413"
"Year 1 Jan 12 10:00 AM","50.3334285603975"
"Year 1 Jan 12 11:00 AM","72.4366508913945"
"Year 1 Jan 12 12:00 PM","92.7516282053555"
"Year 1 Jan 12 1:00 PM","101.615692377247"
"Year 1 Jan 12 2:00 PM","97.0227563031113"
"Year 1 Jan 12 3:00 PM","66.0657450175938"
"Year 1 Jan 12 4:00 PM","32.4500462209077"
"Year 1 Jan 12 5:00 PM","5.70843515014568"
"Year 1 Jan 12 6:00 PM","0"
"Year 1 Jan 12 7:00 PM","0"
"Year 1 Jan 12 8:00 PM","0"
"Year 1 Jan 12 9:00 PM","0"
"Year 1 Jan 12 10:00 PM","0"
"Year 1 Jan 12 11:00 PM","0"
"Year 1 Jan 13 12:00 AM","0"
"Year 1 Jan 13 1:00 AM","0"
"Year 1 Jan 13 2:00 AM","0"
"Year 1 Jan 13 3:00 AM","0"
"Year 1 Jan 13 4:00 AM","0"
"Year 1 Jan 13 5:00 AM","0"
"Year 1 Jan 13 6:00 AM","0"
"Year 1 Jan 13 7:00 AM","0"
"Year 1 Jan 13 8:00 AM","17.9468274671748"
"Year 1 Jan 13 9:00 AM","108.672573417926"
"Year 1 Jan 13 10:00 AM","234.424411763619"
"Year 1 Jan 13 11:00 AM","334.916299527813"
"Year 1 Jan 13 12:00 PM","381.870665736409"
"Year 1 Jan 13 1:00 PM","332.424214097254"
"Year 1 Jan 13 2:00 PM","201.144384746332"
"Year 1 Jan 13 3:00 PM","146.779130811687"
"Year 1 Jan 13 4:00 PM","24.3905465531897"
"Year 1 Jan 13 5:00 PM","3.35042342201138"
"Year 1 Jan 13 6:00 PM","0"
"Year 1 Jan 13 7:00 PM","0"
"Year 1 Jan 13 8:00 PM","0"
"Year 1 Jan 13 9:00 PM","0"
"Year 1 Jan 13 10:00 PM","0"
"Year 1 Jan 13 11:00 PM","0"
"Year 1 Jan 14 12:00 AM","0"
"Year 1 Jan 14 1:00 AM","0"
"Year 1 Jan 14 2:00 AM","0"
"Year 1 Jan 14 3:00 AM","0"
"Year 1 Jan 14 4:00 AM","0"
"Year 1 Jan 14 5:00 AM","0"
